MOVIE NAME,YEAR,MALE SINGER COUNT,FEMALE SINGER COUNT,MALE SONG COUNT,FEMALE SONG COUNT
Dharmatma_1975,1975,2,1,3,1
Bhai (1997 film)_1997,1997,5,3,8,4
Satya 2_2013,2013,4,2,6,6
Sailaab (1990 film)_1990,1990,1,4,1,6
Judge Mujrim_1997,1997,2,3,2,6
Luv Ka The End_2011,2011,4,2,4,3
Nil Battey Sannata_2016,2016,2,0,2,0
Aathi Parasakthi_1976,1976,2,2,3,4
Aakhri Kasam_1979,1979,2,2,2,5
Benaam Badsha_1991,1991,1,2,1,5
Trishna (1978 film)_1978,1978,1,1,1,1
Achanak (1973 film)_1973,1973,1,0,1,0
Lakshmanrekha_1991,1991,0,3,0,9
Andaz (1994 film)_1994,1994,4,2,8,5
Shirin Farhad Ki Toh Nikal Padi_2012,2012,3,2,6,4
Hum Hai Teen Khurafaati_2014,2014,4,3,5,4
Avishkaar_1973,1973,2,2,4,4
Raju Chacha_2000,2000,6,4,6,7
Mohra (1994 film)_1994,1994,3,3,7,7
Avinash (1986 film)_1986,1986,2,3,3,3
Dulhan Wahi Jo Piya Man Bhaaye_1977,1977,3,1,3,8
Jeevan Mrityu_1970,1970,1,1,1,3
Sawan Ko Aane Do_1979,1979,3,0,8,0
Jaago (1985 film)_1985,1985,3,1,7,1
Prayashchit_1977,1977,0,1,0,8
Salaakhen (1998 film)_1998,1998,3,4,4,6
Speedy Singhs_2011,2011,2,1,3,1
Shiv Ram_1991,1991,2,2,3,3
John Jani Janardhan_1984,1984,2,2,3,5
Agent 009_1980,1980,0,1,0,2
Ghar Mein Ram Gali Mein Shyam_1988,1988,3,1,6,2
Aaja Sanam_1975,1975,1,3,6,8
Ulta Seedha_1985,1985,1,2,3,3
2001: Do Hazaar Ek_1998,1998,5,3,7,4
Phata Poster Nikla Hero_2013,2013,5,3,8,3
Well Done Abba_2010,2010,2,2,3,2
Aatank_1996,1996,1,2,2,7
Laparwah_1981,1981,1,1,3,1
Desh Premee (1982 film)_1982,1982,2,3,3,4
Khandaan (1979 film)_1979,1979,2,1,3,1
Zor (film)_1998,1998,3,2,3,3
Dayavan_1988,1988,2,4,3,5
Kotwal Saab_1977,1977,0,2,0,4
Billu_2009,2009,5,0,15,0
Hum Tum Aur Ghost_2010,2010,6,4,11,4
Mission Kashmir (2000 film)_2000,2000,2,4,6,6
